Compound;Cluster-ID;SMILES;Final DMSO-stock concentration in mM;KI in uM;Concentration in setup 1 TSA in mM;shift in setup 1 TSA in C;Concentration in setup 2 TSA in mM;shift in setup 2 TSA in C;Cocrystallization Attempt;Crystal Structure;Hit
EN013;c3;NC(=O)C=1C=CC(SCC2=COC(=N2)C=3C=CC=CC3)=CC1;333;not active;0.83;-0.44;not measured;not measured;No;-;-
EN014;c4;NC=1C=CC(=CC1C#N)C=2C=CC=C(CSC=3N=CC=CN3)C2;1000;could not be plotted;0.83;0.13;not measured;not measured;No;-;-
EN015;c4;NC=1N=C(NCCC2CCCCO2)C=CC1C#N;666;not active;2.5;-1.01;0.07;0.45;No;-;-
EN016;c2;COCC1CCC(CC1)NC(=O)C=2C=CC=3C(=O)NCCC3C2;399;~10000;2.5;0.53;not measured;not measured;No;-;-
EN017;c4;CC(=O)N1CCCC(C1)C(=O)CSC=2N=C(N)C(C#N)=CC2C#N;35;not measured;not measured;not measured;not measured;not measured;No;-;-
EN018;c4;COC=1C=C(NCCNC=2C=CN=C(N)C2C#N)C=C(OC)C1;1000;587.6;2.5;2.46;0.07;0.48;Yes;-;-
EN019;c2;CC=1C=NN(C1)C=2C=CC=C(C2)C3=CC=4CCNC(=O)C4S3;250;not active;1.25;-1.23;0.07;0.31;No;-;-
EN020;c2;NS(=O)(=O)C=1C=CC=C(C1)C2=CSC=3C(=O)NC=CC23;666;not active;0.83;-0.89;not measured;not measured;No;-;-
EN021;c4;CC1(CS(=O)(=O)N2CCC=3C(C#N)=C(N)SC3C2)CC1(F)F;1000;~5000;1.25;-0.32;not measured;not measured;No;-;-
EN022;c2;CC1CCCC(OC(=O)C2CCCN(C2)C3=CC(=O)NC=N3)C1C;69;not measured;not measured;not measured;not measured;not measured;No;-;-
EN023;c1;CC1(C)OC[C@@H](O1)C=CC=2C=NC=C(C2)C(=O)N;1000;not active;2.5;-0.21;not measured;not measured;No;-;-
EN024;c3;NC(=O)C=1C=CC(SCCC=2C=CC=3OCCOC3C2)=CC1;1000;not active;0.36;-0.72;not measured;not measured;No;-;-
EN025;c2;CC(C)(C)OC(=O)C=1C=CC=C(C1)C2=CC=3CCNC(=O)C3S2;37;not measured;not measured;not measured;not measured;not measured;No;-;-
EN026;c4;NC1=C(C#N)C(=NN1CC(=O)NCCC=2C=CC=CC2)C3CC3;1000;not active;2.5;-0.90;not measured;not measured;No;-;-
EN027;c2;C=CCCOC=1C=NC=C(C1)C2=CC=3CCNC(=O)C3S2;500;not active;1.25;0.08;not measured;not measured;No;-;-
EN028;c4;CC(C)(C)C=1OC=NC1CS(=O)(=O)N2CCC=3C(C#N)=C(N)SC3C2;1000;not active;2.5;-0.75;not measured;not measured;No;-;-
EN029;c3;NC(=O)C=1C=CC=2N(CCC2C1)C(=O)CCCC3CCOCC3;16;not measured;not measured;not measured;not measured;not measured;No;-;-
EN030;c2;CC=1C=C(C=2C=COC2)C=3CCNC(=O)C3C1;1000;not active;2.5;0.30;not measured;not measured;No;-;-
EN031;c3;NC(=O)C=1C=CC(CN2CCOC(C2)C3CC(F)(F)C3)=CC1;250;not active;2.5;-0.15;not measured;not measured;No;-;-
EN032;c2;CCN1C=C(C=N1)C2=CSC=3C(=O)NC=CC23;1000;~5000;2.5;1.10;0.07;0.23;No;-;-
EN033;c3;NC(=O)C=1C=CC(CCN2CCC3(C2)CCCOC3)=CC1;1000;~5000;2.5;0.08;not measured;not measured;No;-;-
EN034;c3;CC1(C)CC2(CO1)CN(CC=3C=CC(=CC3)C(=O)N)CCO2;1000;~15000;2.5;-0.78;not measured;not measured;No;-;-
EN035;c3;COC1CCN(CC1)S(=O)(=O)NCC=2C=CC(=CC2)C(=O)N;1000;not active;2.5;-0.32;not measured;not measured;No;-;-
EN036;c2;NC=1C(Br)=CC(Br)=CC1CNC(=O)C2CCNC(=O)C2;100;not measured;not measured;not measured;not measured;not measured;No;-;-
EN037;c4;NC=1NC=2C=C(C=CC2C1C#N)C=3C=CC=C(CN4C=CN=C4)C3;390;could not be plotted;1.25;17.67;0.07;1.59;No;-;-
EN038;c3;COC=1C=C(Cl)C=CC1S(=O)(=O)N(C)CC=2C=CC(=CC2)C(=O)N;333;not active;0.83;-2.20;0.07;0.51;No;-;-
EN039;c3;COC(=O)C1=CC(CNC=2C=CC(C(=O)N)=C(OC(C)C)C2)=CS1;334;not active;1.25;0.13;not measured;not measured;No;-;-
EN040;c1;NC(=O)C=1C=NC=C(OS(=O)(=O)CC2CCCC=3C=CC=CC23)C1;666;not active;1.25;0.47;not measured;not measured;No;-;-
EN041;c2;ClC=1C=C(C=CC1C#N)C2=CSC=3C(=O)NC=CC23;36;not measured;not measured;not measured;not measured;not measured;No;-;-
EN042;c4;CC=1N=C2CCCCN2C(=O)C1CCSC=3N=C(N)C=C(N)C3C#N;334;not active;2.5;1.21;0.07;0.48;No;-;-
EN043;c1;CC(NC1CC2(C1)COC(C)C2)C=3C=CN=C(O)C3;1000;not active;2.5;0.58;not measured;not measured;No;-;-
EN044;c4;NC=1C=CC(=CC1C#N)C=2C=CC=C(C2)C(=O)N3CCS(=O)(=O)CC3;324;not active;0.83;-2.86;0.07;0.28;No;-;-
EN045;c1;BrC=1C=NC(=CC1C#N)N2CCC(=CC2)C3=CNC=4N=CC=CC34;31;not measured;not measured;not measured;not measured;not measured;No;-;-
EN046;c3;NC(=O)C=1C=CC(COC(=O)CCC(=O)C=2C=CC=3CCCCC3C2)=CC1;167;not measured;not measured;not measured;not measured;not measured;No;-;-
EN047;c1;COC=1C=CC=C(C1)C2=CC(COC(=O)C(C)(C)C=3C=CC=NC3)=NO2;1000;not active;1.25;0.21;not measured;not measured;No;-;-
EN048;c2;COC(=O)C=1C=C(OC1C)S(=O)(=O)N2CCCC3=C2C=C(C)NC3=O;399;not active;1.25;0.41;not measured;not measured;No;-;-
EN049;c2;CCOC(=O)C1CC=C(C1)C=2C=C(C)C=C3C(=O)NCCC23;1000;not active;2.5;-1.63;0.07;0.28;No;-;-
EN050;c4;NC=1C=CC(=CC1C#N)C=2C=CC=C(OCCN3C=CN=C3)C2;1000;not active;1.25;0.81;not measured;not measured;No;-;-
EN051;c4;NC(CC=1C=CC=CN1)C=2C=CC(=CC2)C=3C=CC(N)=C(C#N)C3;666;could not be plotted;2.5;2.80;0.07;0.91;No;-;-
EN052;c3;NC(=O)C=1C=CC(CN2CC=CCC32CCOC3)=CC1;78;not measured;not measured;not measured;not measured;not measured;No;-;-
EN053;c4;NC=1C=CC(=CC1C#N)C=2C=CC=C(CN3C(=O)CCCC3=O)C2;500;not active;0.83;0.47;not measured;not measured;No;-;-
EN054;c3;CC=1C=C(C=NC1NC(=O)C2(CC2)C=3C=CC(=CC3)C(=O)N)S(=O)(=O)N;1000;~10000;2.5;-0.15;not measured;not measured;No;-;-
EN055;c3;COC(=O)C1(CC1)C=2C=CC(=CC2)S(=O)(=O)N(C)C=3C=CC(=CC3)C(=O)N;222;not active;0.83;0.07;not measured;not measured;No;-;-
EN056;c3;COC=1C=CC=2NCCC(NC(=O)C=3C=CC(=CC3)C(=O)N)C2C1;250;not active;0.83;0.07;not measured;not measured;No;-;-
EN057;c4;CC1(CS(=O)(=O)N2CCC=3C(C#N)=C(N)SC3C2)CC1(Cl)Cl;1000;not active;2.5;0.64;not measured;not measured;No;-;-
EN058;c3;NC(=O)C=1C=CC(CN(CCC#N)CC2CCOC2)=CC1;127;not measured;not measured;not measured;not measured;not measured;No;-;-
EN059;c4;CCOC(=O)CN1C=C(C=CC1=O)C=2C=CC(N)=C(C#N)C2;1000;not active;2.5;0.13;not measured;not measured;No;-;-
EN060;c4;NC=1C=CC(=CC1C#N)C=2C=CC=C(C2)C3COCCN3;1000;955.9;2.5;3.37;0.07;1.08;Yes;7PID;Yes
EN061;c4;NC(CC1CC1)CC=2C=CC=C(C2)C=3C=CC(N)=C(C#N)C3;1000;540.7;2.5;4.50;0.07;1.76;Yes;-;-
EN062;c3;NC(=O)C=1C=CC(CN2C3CCC2C=4C=C(C#N)C(=O)NC4C3)=CC1;167;not measured;not measured;not measured;not measured;not measured;No;-;-
EN063;c3;COC=1C=C(C=C2C=CC=CC12)C(C)NCC=3C=CC(=CC3)C(=O)N;1000;not active;2.5;1.15;0.07;0.17;No;-;-
EN064;c3;NCCC1CN(C(=O)C=2C=CC(=CC2)C(=O)N)C=3C=CC=CC13;1000;~5000;2.5;2.00;0.07;0.06;Yes;Yes;No
EN065;c1;CC(NC1COC=2C=CC(F)=CC12)C=3C=CNC(=O)C3;1000;not active;2.5;0.53;not measured;not measured;No;-;-
EN066;c3;NC(=O)C=1C=CC(=CC1)C(=O)NS(=O)(=O)CCC=2C=CC(Cl)=NC2;1000;~10000;2.5;0.13;not measured;not measured;No;-;-
EN067;c3;COC=1C=CC=C(C1)[C@H]2C[C@@H](C2)NCC=3C=CC(=CC3)C(=O)N;1000;not active;2.5;2.18;0.07;0.28;No;-;-
EN068;c4;NC=1C=CC(=CC1C#N)C=2C=CC=C(C2)C3CNCCO3;1000;~5000;2.5;3.09;0.07;0.51;Yes;7PIE;Yes
EN069;c3;COC=1C=CC=CC1C(NCC=2C=CC(=CC2)C(=O)N)C3=NC=CN3C;1000;not active;2.5;0.30;not measured;not measured;No;-;-
EN070;c3;NC(=O)C=1C=CC(C=CC(=O)N2CC3CCCC(C2)NC3)=CC1;1000;~5000;2.5;2.63;0.07;0.48;Yes;-;-
EN071;c1;CC(NC(C)C=1C=CN=C(O)C1)C=2C=CC(=CC2)C=3C=CN=CC3;167;not measured;not measured;not measured;not measured;not measured;No;-;-
EN072;c1;CC=1C=CC(O)=C(C1)C(=O)N2CCC(=CC2)C3=CNC=4N=CC=CC34;not fully soluble. <5 �M;not measured;not measured;not measured;not measured;not measured;No;-;-
EN073;c2;CCN1N=CC(=C1F)C2=CSC=3C(=O)NC=CC23;255;could not be plotted;0.83;1.04;0.07;0.51;No;-;-
EN074;c1;CC(NC1CCCC1(F)F)C=2C=CNC(=O)C2;1000;~10000;2.5;-1.06;0.07;0.34;No;-;-
EN075;c4;NC=1C=CC(C=C2CCS(=O)(=O)CC2)=C(Cl)C1C#N;333;not active;0.83;-0.72;not measured;not measured;No;-;-
EN076;c4;CNC=1C=CC=C(C1)C=2C=CC(N)=C(C#N)C2Cl;1000;not active;<0.36;0.24;not measured;not measured;No;-;-
EN077;c4;NC=1C=CN=C(C=C2CCNCC2)C1C#N;1000;~10000;2.5;-0.27;not measured;not measured;No;-;-
EN078;c2;OC=1N=CC=C2C=C(C=CC12)C=3C=CC=C(CN4C=CC=N4)C3;333;154.7;0.83;2.46;0.07;1.25;Yes;No;-
EN079;c2;CC(C)COC=1C=CC(=CN1)C=2C=CC=3C(O)=NC=CC3C2;48;not measured;not measured;not measured;not measured;not measured;No;-;-
EN080;c4;CN(C)CCN1C=CC=2C=CC(=CC12)C=3C=CC(N)=C(C#N)C3;500;not active;0.83;0.98;not measured;not measured;No;-;-
